Public ID1,Organization1,Availability1,System Name (click + for details),Accelerator,# of Accelerators,Benchmark1,Model MLC1,Scenario1,Units1,Division/Power,Model (copy),Operating System,Processor,Software1,System Type Revised,Version,# of Nodes,Division,Division Revised,Has Power,Host Processor Core Count,Model,System Type,Result,Result at System Name
1.0-99,NVIDIA,Available Cloud,NVIDIA Jetson Xavier NX (MaxQ; TensorRT),NVIDIA Xavier NX,1,Inference,ResNet,Single Stream,latency (ms),Closed ,ResNet,,NVIDIA Carmel (ARMv8.2),21.03 Jetson CUDA-X AI Developer Preview; TensorRT 7.2.3; CUDA 10.2,Edge,v1.0,1,closed,Closed,False,,ResNet,edge,3.03682,3.03682
1.0-80,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),NVIDIA T4,4,Inference,3D U-Net-99.9,Single Stream,latency (ms),Closed ,3D U-Net-99.9,,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,TensorRT 7.2.3; CUDA 11.1,Edge,v1.0,1,closed,Closed,False,,3D U-Net-99.9,edge,171.7269,171.7269
1.0-98,NVIDIA,Available Cloud,NVIDIA Jetson Xavier NX (TensorRT),NVIDIA Xavier NX,1,Inference,SSD-small,Offline,samples/s,Closed ,SSD-small,,NVIDIA Carmel (ARMv8.2),21.03 Jetson CUDA-X AI Developer Preview; TensorRT 7.2.3; CUDA 10.2,Edge,v1.0,1,closed,Closed,False,,SSD-small,edge,1539.33,1539.33
1.0-92,NVIDIA,Available Cloud,NVIDIA Jetson AGX Xavier 32GB (TensorRT),NVIDIA AGX Xavier,1,Inference,BERT-99.0,Single Stream,latency (ms),Closed ,BERT-99.0,,NVIDIA Carmel (ARMv8.2),21.03 Jetson CUDA-X AI Developer Preview; TensorRT 7.2.3; CUDA 10.2,Edge,v1.0,1,closed,Closed,False,,BERT-99.0,edge,31.091144,31.091144
1.0-79,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (1x T4),NVIDIA T4,1,Inference,ResNet,Single Stream,latency (ms),Closed ,ResNet,,Intel(R) Xeon(R) Gold 6238 CPU @ 2.10GHz,TensorRT 7.2.3; CUDA 11.1,Edge,v1.0,1,closed,Closed,False,,ResNet,edge,0.826512,0.826512
1.0-89,Lenovo,Available Cloud,Lenovo ThinkSystem SE350 server,NVIDIA T4,1,Inference,SSD-small,Offline,samples/s,Closed ,SSD-small,,Intel(R) Xeon(R) D-2123IT CPU @ 2.20GHz,TensorRT 7.2.3; CUDA 11.1,Edge,v1.0,1,closed,Closed,False,,SSD-small,edge,6922.91,6922.91
1.0-106,NVIDIA,Preview,Supermicro 4029GP-TRT-OTO-28 (1x A10; TensorRT),NVIDIA A10,1,Inference,3D U-Net-99.0,Single Stream,latency (ms),Closed ,3D U-Net-99.0,,Intel(R) Xeon(R) Platinum 8280 CPU @ 2.70GHz,TensorRT 7.2.3; CUDA 11.1,Edge,v1.0,1,closed,Closed,False,,3D U-Net-99.0,edge,62.378474,62.378474
1.0-92,NVIDIA,Available Cloud,NVIDIA Jetson AGX Xavier 32GB (TensorRT),NVIDIA AGX Xavier,1,Inference,3D U-Net-99.0,Single Stream,latency (ms),Closed ,3D U-Net-99.0,,NVIDIA Carmel (ARMv8.2),21.03 Jetson CUDA-X AI Developer Preview; TensorRT 7.2.3; CUDA 10.2,Edge,v1.0,1,closed,Closed,False,,3D U-Net-99.0,edge,384.838559,384.838559
1.0-98,NVIDIA,Available Cloud,NVIDIA Jetson Xavier NX (TensorRT),NVIDIA Xavier NX,1,Inference,ResNet,Multiple Stream,streams,Closed ,ResNet,,NVIDIA Carmel (ARMv8.2),21.03 Jetson CUDA-X AI Developer Preview; TensorRT 7.2.3; CUDA 10.2,Edge,v1.0,1,closed,Closed,False,,ResNet,edge,50,50
1.0-110,NVIDIA,Preview,Gigabyte G482-Z54 (1x A30; TensorRT),NVIDIA A30,1,Inference,3D U-Net-99.9,Single Stream,latency (ms),Closed ,3D U-Net-99.9,,AMD EPYC 7742,TensorRT 7.2.3; CUDA 11.1,Edge,v1.0,1,closed,Closed,False,,3D U-Net-99.9,edge,44.112975,44.112975
1.0-81,Inspur,Available Cloud,NE5260M5,NVIDIA A100-PCIe,2,Inference,3D U-Net-99.9,Single Stream,latency (ms),Closed ,3D U-Net-99.9,,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,TensorRT 7.2; CUDA Version: 11.2,Edge,v1.0,1,closed,Closed,False,,3D U-Net-99.9,edge,35.036544,35.036544
1.0-110,NVIDIA,Preview,Gigabyte G482-Z54 (1x A30; TensorRT),NVIDIA A30,1,Inference,SSD-small,Offline,samples/s,Closed ,SSD-small,,AMD EPYC 7742,TensorRT 7.2.3; CUDA 11.1,Edge,v1.0,1,closed,Closed,False,,SSD-small,edge,24110.6,24110.6
1.0-105,Inspur,Preview,NF5488A5 (Liquid cooling),NVIDIA A100-SXM-80GB,1,Inference,SSD-Large,Single Stream,latency (ms),Closed ,SSD-Large,,AMD EPYC 7742,TensorRT 7.2; CUDA 11.2,Edge,v1.0,1,closed,Closed,False,,SSD-Large,edge,1.731954,1.731954
1.0-96,NVIDIA,Available Cloud,NVIDIA DGX-A100 (1x A100-SXM-80GB; TensorRT; Triton),NVIDIA A100-SXM-80GB,1,Inference,ResNet,Single Stream,latency (ms),Closed ,ResNet,,AMD EPYC 7742,TensorRT 7.2.3; CUDA 11.1,Edge,v1.0,1,closed,Closed,False,,ResNet,edge,0.431369,0.431369
1.0-91,NVIDIA,Available Cloud,Gigabyte G482-Z54 (1x A100-PCIe; TensorRT; Triton),NVIDIA A100-PCIe-40GB,1,Inference,SSD-Large,Multiple Stream,streams,Closed ,SSD-Large,,AMD EPYC 7742,TensorRT 7.2.3; CUDA 11.1,Edge,v1.0,1,closed,Closed,False,,SSD-Large,edge,48,48
1.0-90,NVIDIA,Available Cloud,Gigabyte G482-Z54 (1x A100-PCIe; TensorRT),NVIDIA A100-PCIe-40GB,1,Inference,3D U-Net-99.0,Offline,samples/s,Closed ,3D U-Net-99.0,,AMD EPYC 7742,TensorRT 7.2.3; CUDA 11.1,Edge,v1.0,1,closed,Closed,False,,3D U-Net-99.0,edge,51.6478,51.6478
1.0-98,NVIDIA,Available Cloud,NVIDIA Jetson Xavier NX (TensorRT),NVIDIA Xavier NX,1,Inference,3D U-Net-99.9,Offline,samples/s,Closed ,3D U-Net-99.9,,NVIDIA Carmel (ARMv8.2),21.03 Jetson CUDA-X AI Developer Preview; TensorRT 7.2.3; CUDA 10.2,Edge,v1.0,1,closed,Closed,False,,3D U-Net-99.9,edge,1.46737,1.46737
1.0-90,NVIDIA,Available Cloud,Gigabyte G482-Z54 (1x A100-PCIe; TensorRT),NVIDIA A100-PCIe-40GB,1,Inference,3D U-Net-99.0,Single Stream,latency (ms),Closed ,3D U-Net-99.0,,AMD EPYC 7742,TensorRT 7.2.3; CUDA 11.1,Edge,v1.0,1,closed,Closed,False,,3D U-Net-99.0,edge,28.501488,28.501488
1.0-84,Krai,Available Cloud,Firefly-RK3399 (firefly),, ,Inference,ResNet,Single Stream,latency (ms),Closed ,ResNet,,Arm Cortex-A72 MP2 (big); Arm Cortex-A53 MP4 (LITTLE),TFLite v2.4.1 (ruy),Edge,v1.0,1,closed,Closed,False,,ResNet,edge,509.104821,509.104821
1.0-85,Krai,Available Cloud,Raspberry Pi 4,, ,Inference,ResNet,Single Stream,latency (ms),Closed ,ResNet,,Arm Cortex-A72 MP4,TFLite v2.4.1 (ruy),Edge,v1.0,1,closed,Closed,False,,ResNet,edge,603.680875,603.680875
