Public ID1,Organization1,Availability1,System Name (click + for details),Accelerator,# of Accelerators,Benchmark1,Model MLC1,Scenario1,Units1,Division/Power,Model (copy),Operating System,Processor,Software1,System Type Revised,Version,# of Nodes,Division,Division Revised,Has Power,Host Processor Core Count,Model,System Type,Result,Result at System Name
0.7-152,NVIDIA,Available Cloud,NVIDIA Jetson AGX Xavier 32GB (TensorRT),NVIDIA AGX Xavier,1,Inference,BERT-99.0,Single Stream,latency (ms),Closed ,BERT-99.0,,NVIDIA Carmel (ARMv8.2),20.09 Jetson CUDA-X AI Developer Preview; TensorRT 7.2; CUDA 10.2,Edge,v0.7,1,closed,Closed,False,,BERT-99.0,edge,30.806756,30.806756
0.7-154,NVIDIA,Available Cloud,Supermicro 4029GP-TRT-OTO-28 (1x T4; TensorRT; Triton),NVIDIA T4,1,Inference,3D U-Net-99.0,Single Stream,latency (ms),Closed ,3D U-Net-99.0,,Intel(R) Xeon(R) Platinum 8280 CPU @ 2.70GHz,TensorRT 7.2; CUDA 11.0 Update 1,Edge,v0.7,1,closed,Closed,False,,3D U-Net-99.0,edge,173.680417,173.680417
0.7-152,NVIDIA,Available Cloud,NVIDIA Jetson AGX Xavier 32GB (TensorRT),NVIDIA AGX Xavier,1,Inference,3D U-Net-99.0,Offline,samples/s,Closed ,3D U-Net-99.0,,NVIDIA Carmel (ARMv8.2),20.09 Jetson CUDA-X AI Developer Preview; TensorRT 7.2; CUDA 10.2,Edge,v0.7,1,closed,Closed,False,,3D U-Net-99.0,edge,2.28825,2.28825
0.7-157,Mobilint,RDI,Mobilint Edge,Xilinx Alveo U250,1,Inference,SSD-small,Single Stream,latency (ms),Closed ,SSD-small,,Intel(R) Core(TM) i7-9700K CPU @ 3.60GHz,Internal Framework,Edge,v0.7,1,closed,Closed,False,,SSD-small,edge,10.635159,10.635159
0.7-142,dividiti,Available Cloud,NVIDIA Jetson AGX Xavier,, ,Inference,ResNet,Single Stream,latency (ms),Closed ,ResNet,,NVIDIA Carmel (ARMv8.2),TFLite v2.3.0 (ruy),Edge,v0.7,1,closed,Closed,False,,ResNet,edge,119.348397,119.348397
0.7-150,NVIDIA,Available Cloud,NVIDIA DGX-A100 (1x A100-SXM4-MIG-1x1g.5gb; TensorRT),NVIDIA A100-SXM4 (1x1g.5gb MIG),1,Inference,ResNet,Single Stream,latency (ms),Closed ,ResNet,,AMD EPYC 7742,TensorRT 7.2; CUDA 11.0 Update 1,Edge,v0.7,1,closed,Closed,False,,ResNet,edge,0.739918,0.739918
0.7-145,Lenovo,Available Cloud,Lenovo ThinkSystem SE350 Edge Server (1x T4),NVIDIA T4,1,Inference,ResNet,Multiple Stream,streams,Closed ,ResNet,,Intel(R) Xeon(R) D-2123IT CPU @ 2.20GHz,TensorRT 7.2; CUDA 11.0 Update 1,Edge,v0.7,1,closed,Closed,False,,ResNet,edge,272,272
0.7-144,Inspur,Available Cloud,NF5468M5,NVIDIA T4,1,Inference,SSD-Large,Offline,samples/s,Closed ,SSD-Large,,Intel(R) Xeon(R) Platinum 8268 CPU @ 2.90GHz,TensorRT 7.2; CUDA V11.0.221,Edge,v0.7,1,closed,Closed,False,,SSD-Large,edge,139.908,139.908
0.7-150,NVIDIA,Available Cloud,NVIDIA DGX-A100 (1x A100-SXM4-MIG-1x1g.5gb; TensorRT),NVIDIA A100-SXM4 (1x1g.5gb MIG),1,Inference,ResNet,Offline,samples/s,Closed ,ResNet,,AMD EPYC 7742,TensorRT 7.2; CUDA 11.0 Update 1,Edge,v0.7,1,closed,Closed,False,,ResNet,edge,4966.44,4966.44
0.7-131,Centaur Technology,Available Cloud,Centaur Technology Reference Design v1.0D,Centaur Integrated AI Coprocessor,1,Inference,ResNet,Offline,samples/s,Closed ,ResNet,,Centaur Integrated x86 CPUs,TensorFlow-Lite 2.2.0 + custom patches; PyTorch 1.6.0,Edge,v0.7,1,closed,Closed,False,,ResNet,edge,1253.96,1253.96
